directory	file	line	function	property kind	status	property
.	null_pointer_3.c	6	main	precondition of memcmp	Unknown	valid_s2: valid_read_or_empty(s2, n)
FRAMAC_SHARE/libc	string.h	56	memcmp	precondition	Unknown	valid_s2: valid_read_or_empty(s2, n)
