directory	file	line	function	property kind	status	property
2019/diels-grabsch2	prog.c	16	n	initialization	Unknown	\initialized(a + 7)
2019/diels-grabsch2	prog.c	16	n	initialization	Unknown	\initialized(c + (unsigned long long)(*b_0 % 16))
2019/diels-grabsch2	prog.c	16	n	initialization	Unknown	\initialized(a + 4)
2019/diels-grabsch2	prog.c	16	n	initialization	Unknown	\initialized(a + 5)
2019/diels-grabsch2	prog.c	16	n	initialization	Unknown	\initialized(a + 6)
2019/diels-grabsch2	prog.c	16	n	initialization	Unknown	\initialized(a + 3)
2019/diels-grabsch2	prog.c	16	n	initialization	Unknown	\initialized(a + (z)(6 - e))
2019/diels-grabsch2	prog.c	16	n	initialization	Unknown	\initialized(a + 0)
2019/diels-grabsch2	prog.c	16	n	initialization	Unknown	\initialized(a + 1)
2019/diels-grabsch2	prog.c	16	n	initialization	Unknown	\initialized(a + 2)
2019/diels-grabsch2	prog.c	16	n	initialization	Unknown	\initialized(a + 3)
2019/diels-grabsch2	prog.c	16	n	initialization	Unknown	\initialized(c + (unsigned long long)((z)(e_0 + 9) % 16))
2019/diels-grabsch2	prog.c	16	n	initialization	Unknown	\initialized(c + e_0)
2019/diels-grabsch2	prog.c	16	n	initialization	Unknown	\initialized(c + (unsigned long long)((z)(e_0 + 1) % 16))
2019/diels-grabsch2	prog.c	16	n	initialization	Unknown	\initialized(c + (unsigned long long)((z)(e_0 + 14) % 16))
2019/diels-grabsch2	prog.c	18	k	initialization	Unknown	\initialized(a + e)
2019/diels-grabsch2	prog.c	18	k	initialization	Unknown	\initialized(a + e_1)
2019/diels-grabsch2	prog.c	18	k	initialization	Unknown	\initialized(b_0 + e_1)
2019/diels-grabsch2	prog.c	19	main	initialization	Unknown	\initialized(&a[e_2])
